"","No.","Time","Source","Destination","Protocol","Length","Info","hostname","last_registration_req_at","platform","health","last_config_fetch_at","total_flows","cpu_load","current_sw_version","vrf_id","created_at","enable_pid_lookup"
"1",2,0.029841,"72.14.213.138","192.168.3.131","HTTP",440,"HTTP/1.1 200 OK  (text/javascript)","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"2",67,0.815889,"72.14.213.138","192.168.3.131","HTTP",523,"HTTP/1.1 200 OK  (text/javascript)","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"3",181,1.748064,"72.14.213.138","192.168.3.131","HTTP",533,"HTTP/1.1 200 OK  (text/javascript)","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"4",11476,233.33249,"72.14.213.138","192.168.3.131","TCP",66,"80  >  58769 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM=1 WS=64","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"5",11479,233.353712,"72.14.213.138","192.168.3.131","TCP",60,"[TCP ACKed unseen segment] 80  >  58769 [ACK] Seq=1 Ack=1431 Win=8640 Len=0","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"6",11480,233.3545,"72.14.213.138","192.168.3.131","TCP",60,"80  >  58769 [ACK] Seq=1 Ack=1529 Win=8640 Len=0","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"7",11481,233.354501,"72.14.213.138","192.168.3.131","TCP",60,"80  >  58769 [ACK] Seq=1 Ack=1633 Win=8640 Len=0","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"8",11487,233.399067,"72.14.213.138","192.168.3.131","HTTP",784,"HTTP/1.1 200 OK  (application/vnd.google.safebrowsing-update)","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"9",11491,233.420218,"72.14.213.138","192.168.3.131","TCP",66,"80  >  58770 [SYN, ACK] Seq=0 Ack=1 Win=5720 Len=0 MSS=1430 SACK_PERM=1 WS=64","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"10",11494,233.440686,"72.14.213.138","192.168.3.131","TCP",60,"80  >  58770 [ACK] Seq=1 Ack=1384 Win=8512 Len=0","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"11",11495,233.442099,"72.14.213.138","192.168.3.131","HTTP",990,"HTTP/1.1 200 OK  (application/vnd.google.safebrowsing-chunk)","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"12",11497,233.466717,"72.14.213.138","192.168.3.131","HTTP",348,"HTTP/1.1 200 OK  (application/vnd.google.safebrowsing-chunk)","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"13",11499,233.491161,"72.14.213.138","192.168.3.131","TCP",1484,"80  >  58770 [ACK] Seq=1231 Ack=4136 Win=14080 Len=1430 [TCP segment of a reassembled PDU]","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"14",11500,233.491985,"72.14.213.138","192.168.3.131","TCP",1484,"80  >  58770 [ACK] Seq=2661 Ack=4136 Win=14080 Len=1430 [TCP segment of a reassembled PDU]","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"15",11502,233.492826,"72.14.213.138","192.168.3.131","TCP",1484,"80  >  58770 [ACK] Seq=4091 Ack=4136 Win=14080 Len=1430 [TCP segment of a reassembled PDU]","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"16",11503,233.493701,"72.14.213.138","192.168.3.131","TCP",1484,"80  >  58770 [ACK] Seq=5521 Ack=4136 Win=14080 Len=1430 [TCP segment of a reassembled PDU]","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"17",11504,233.493704,"72.14.213.138","192.168.3.131","TCP",1484,"80  >  58770 [ACK] Seq=6951 Ack=4136 Win=14080 Len=1430 [TCP segment of a reassembled PDU]","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"18",11506,233.494556,"72.14.213.138","192.168.3.131","TCP",1484,"80  >  58770 [ACK] Seq=8381 Ack=4136 Win=14080 Len=1430 [TCP segment of a reassembled PDU]","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"19",11507,233.494558,"72.14.213.138","192.168.3.131","TCP",1484,"80  >  58770 [ACK] Seq=9811 Ack=4136 Win=14080 Len=1430 [TCP segment of a reassembled PDU]","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
"20",11509,233.495408,"72.14.213.138","192.168.3.131","HTTP",1409,"HTTP/1.1 200 OK  (application/vnd.google.safebrowsing-chunk)","RCDNPN3758",1479500022,"CentOS-6.5","active",1479749128,540747,0.272278057,"1.103.1.8-1",676767,1479238149,TRUE
